sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;línea_credito
femenino;comercio;variedades;francisco antonio zea;2;5;2018-02-09;781000;microempresarial
femenino;comercio;tienda;picacho;1;6;2019-05-29;8200000;microempresarial
masculino;comercio;almacenderopaen;girardot;3;5;2017-02-23;3000000;microempresarial
masculino;industria;carpinteria;manrique oriental;1;3;2016-12-16;6900000;microempresarial
femenino;servicio;peluqueria;buenos aires;3;9;2017-06-13;7377000;microempresarial
femenino;comercio;variedades;el salvador;2;9;2017-10-27;6500000;microempresarial
masculino;servicio;cafeteria;santa elena central;2;90;2016-05-16;6000000;microempresarial
masculino;servicio;barberia;robledo;2;7;2018-05-08;6000000;microempresarial
masculino;comercio;peluqueria;belen;3;16;2018-06-08;7800000;microempresarial
femenino;industria;fabricade;la loma oriental;2;60;2016-12-16;6890000;microempresarial
masculino;servicio;barberia;la loma;1;60;2018-08-24;7800000;microempresarial
femenino;servicio;cafeeinternet;buenos aires;3;9;2016-12-05;6890000;microempresarial
femenino;servicio;fabricade;castilla;3;5;2017-02-09;7377000;microempresarial
masculino;comercio;variedades;barrio caicedo;2;9;2017-10-24;7300000;microempresarial
masculino;industria;fabricade;manrique oriental;2;3;2018-06-18;4000000;microempresarial
masculino;servicio;peluqueria;robledo;2;7;2018-02-21;7000000;microempresarial
femenino;servicio;comidasrapidas;florencia;3;5;2018-10-18;1500000;microempresarial
femenino;comercio;comidasrapidas;andalucia;2;2;2018-06-21;5000000;microempresarial
masculino;servicio;mantenimientoen;enciso;3;8;2018-09-27;7800000;microempresarial
masculino;comercio;comidasrapidas;doce de octubre no.1;2;6;2018-10-24;4000000;microempresarial
femenino;industria;fabricade;manrique central no. 2;2;3;2019-06-12;4500000;microempresarial
masculino;industria;fabricademuebles;cabecera san cristobal;3;60;2018-10-26;7800000;microempresarial
femenino;comercio;comidasrapidas;aranjuez;3;4;2017-06-13;4000000;microempresarial
masculino;industria;fabricadealimentos;robledo;3;7;2018-11-01;7800000;microempresarial
femenino;comercio;tienda;robledo;2;7;2017-02-13;5000000;microempresarial
femenino;comercio;comidasrapidas;san javier no.1;1;13;2018-03-14;7800000;microempresarial
femenino;servicio;cafeeinternet;robledo;1;7;2016-06-24;6000000;microempresarial
femenino;industria;fabricade;manrique central no. 1;1;4;2018-11-13;2500000;microempresarial
femenino;comercio;legumbreria;manrique central no. 2;2;3;2016-04-14;6000000;microempresarial
masculino;servicio;cafeeinternet;buenos aires;3;9;2018-02-06;4000000;microempresarial
femenino;comercio;variedades;robledo;1;7;2018-08-24;7800000;microempresarial
femenino;industria;fabricade;la floresta;2;13;2018-12-21;5000000;microempresarial
femenino;comercio;variedades;cabecera san antonio ;2;80;2016-06-17;6800000;microempresarial
masculino;comercio;panaderia;pedregal alto;3;60;2017-12-04;7000000;microempresarial
masculino;comercio;ferreteria;villa del socorro;1;2;2018-02-15;7800000;microempresarial
femenino;comercio;variedades;buenos aires;3;9;2018-08-01;1000000;microempresarial
femenino;industria;fabricade;la libertad;2;8;2018-05-31;7800000;microempresarial
femenino;comercio;variedades;el chagualo;3;10;2018-05-25;7800000;microempresarial
femenino;comercio;miscelanea;popular;1;1;2016-10-26;4000000;microempresarial
femenino;industria;fabricadearepas;san javier no.1;3;13;2016-06-15;6500000;microempresarial
femenino;industria;fabricade;aranjuez;2;4;2018-03-22;3400000;microempresarial
masculino;comercio;comidasrapidas;popular;2;1;2017-11-22;4000000;microempresarial
masculino;comercio;tienda;picacho;1;6;2018-05-04;7000000;microempresarial
femenino;industria;fabricade;campo valdes no. 1;3;4;2019-01-25;5000000;microempresarial
femenino;servicio;tienda;enciso;2;8;2017-04-25;5000000;microempresarial
femenino;industria;fabricade;santa cruz;2;2;2018-07-17;7800000;microempresarial
masculino;industria;fabricade;trinidad;3;15;2016-05-19;3000000;microempresarial
femenino;comercio;fabricadearepas;barrio caicedo;2;9;2019-03-20;4000000;microempresarial
femenino;industria;fabricade;robledo;2;7;2018-08-17;5000000;microempresarial
femenino;comercio;variedades;el poblado;3;14;2017-06-16;7000000;microempresarial
femenino;comercio;comidasrapidas;santa cruz;2;2;2018-12-03;6000000;microempresarial
masculino;comercio;almacenderopaen;santa cruz;2;2;2019-02-05;8000000;microempresarial
femenino;industria;carpinteria;cabecera san antonio ;2;80;2016-09-15;6500000;microempresarial
masculino;servicio;recreativoeducativo;cabecera san cristobal;3;60;2019-02-06;7800000;microempresarial
femenino;industria;fabricade;manrique central no. 1;2;4;2019-06-27;8281000;microempresarial
masculino;industria;fabricaderepuestos;la floresta;2;12;2018-07-09;7800000;microempresarial
femenino;comercio;tienda;la francia;2;2;2019-04-08;6000000;microempresarial
masculino;servicio;comidasrapidas;castilla;2;5;2016-04-26;6890000;microempresarial
femenino;servicio;distribuidorade;san javier no.1;2;13;2017-04-03;7000000;microempresarial
masculino;industria;fabricaderepuestos;guayabal;3;15;2017-12-29;7300000;microempresarial
femenino;industria;fabricade;manrique central no. 1;2;4;2018-08-21;3000000;microempresarial
femenino;comercio;almacenderopaen;20 de julio;1;13;2018-06-08;2000000;microempresarial
masculino;comercio;variedades;la milagrosa;3;9;2018-03-09;5000000;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;2018-09-24;7800000;microempresarial
femenino;servicio;recreativoeducativo;castilla;3;5;2018-12-17;7500000;microempresarial
masculino;comercio;distribuidorade;villa hermosa;3;8;2017-08-04;7300000;microempresarial
femenino;comercio;restaurante;manrique central no. 1;2;4;2018-09-27;6000000;microempresarial
femenino;comercio;almacenderopaen;buenos aires;3;9;2017-06-14;7300000;microempresarial
femenino;comercio;tallerdeelectronica;barrio caicedo;1;9;2018-11-14;3000000;microempresarial
femenino;industria;fabricade;castilla;3;5;2019-01-04;7800000;microempresarial
femenino;comercio;variedades;la pradera;2;13;2017-07-10;7370000;microempresarial
masculino;servicio;productosdebelleza;robledo;2;4;2018-07-10;5000000;microempresarial
femenino;industria;fabricademuebles;castilla;3;5;2017-09-22;4000000;microempresarial
masculino;industria;fabricade;buenos aires;3;9;2019-06-12;2500000;microempresarial
femenino;industria;fabricade;san pablo;2;1;2018-02-21;1000000;microempresarial
masculino;comercio;almacenderopaen;robledo;2;7;2017-07-10;7377000;microempresarial
femenino;comercio;tienda;manrique central no. 2;3;3;2019-05-22;5000000;microempresarial
femenino;comercio;comidasrapidas;robledo;2;7;2017-01-27;4000000;microempresarial
femenino;comercio;variedades;jardin botanico;2;3;2019-01-30;4000000;microempresarial
masculino;industria;fabricade;manrique oriental;1;3;2018-10-03;7800000;microempresarial
masculino;servicio;lavanderia;robledo;3;7;2018-07-09;7800000;microempresarial
femenino;industria;fabricade;buenos aires;1;9;2018-07-12;4000000;microempresarial
femenino;comercio;ventadecalzado;belen;2;16;2016-10-19;4000000;microempresarial
masculino;servicio;tallerdeelectronica;san javier no.1;3;13;2019-02-15;8122200;microempresarial
masculino;comercio;tienda;manrique central no. 1;3;4;2018-05-10;7800000;microempresarial
masculino;comercio;papeleria;el salvador;3;9;2019-04-26;7000000;microempresarial
masculino;comercio;carpinteria;cabecera san cristobal;2;60;2018-08-01;3000000;microempresarial
masculino;industria;ebanistaria;belencito;2;13;2016-11-04;4000000;microempresarial
masculino;industria;fabricade;cabecera san cristobal;2;60;2018-12-19;4000000;microempresarial
masculino;comercio;tienda;san antonio;3;8;2019-06-21;4500000;microempresarial
femenino;servicio;criaderodeanimales;belen;2;16;2017-03-09;4000000;microempresarial
femenino;comercio;variedades;miranda;2;4;2018-02-01;2000000;microempresarial
femenino;industria;fabricade;tejelo;3;5;2017-04-24;5000000;microempresarial
masculino;servicio;recreativoeducativo;la esperanza;3;6;2016-03-07;6890000;microempresarial
masculino;industria;ebanistaria;belencito;2;13;2018-05-18;2000000;microempresarial
femenino;industria;fabricade;las esmeraldas;2;4;2018-03-06;3000000;microempresarial
femenino;servicio;recreativoeducativo;robledo;2;7;2016-05-19;2000000;microempresarial
masculino;comercio;comidasrapidas;barrio caicedo;1;9;2018-10-03;7500000;microempresarial
masculino;comercio;restaurante;belen;2;16;2017-02-23;5000000;microempresarial
masculino;industria;comidasrapidas;moravia;2;4;2018-06-27;3500000;microempresarial
masculino;industria;fabricadeproductos;santander;2;6;2017-08-18;7377000;microempresarial
masculino;industria;panaderia;castilla;2;5;2017-05-16;7370000;microempresarial
femenino;comercio;variedades;buenos aires;3;9;2017-02-15;6800000;microempresarial
masculino;industria;fabricade;campo valdes no. 1;2;4;2018-03-07;6000000;microempresarial
femenino;comercio;almacenderopaen;aranjuez;2;4;2018-08-13;7812242;microempresarial
femenino;servicio;mantenimientoen;doce de octubre no.1;1;6;2017-01-27;6000000;microempresarial
femenino;comercio;variedades;santander;2;6;2018-06-21;6000000;microempresarial
femenino;industria;fabricade;campo valdes no. 1;3;4;2017-11-30;7000000;microempresarial
masculino;comercio;tiendadehelados;campo valdes no. 1;2;4;2016-04-11;6890000;microempresarial
masculino;comercio;tienda;belencito;2;13;2016-03-10;6890000;microempresarial
femenino;servicio;peluqueria;campo valdes no. 1;3;4;2018-04-03;7800000;microempresarial
masculino;servicio;organizaciony;florencia;3;5;2018-08-21;6000000;microempresarial
femenino;industria;fabricade;santa cruz;2;2;2018-07-09;4500000;microempresarial
masculino;comercio;variedades;robledo;2;7;2017-01-17;7377000;microempresarial
masculino;industria;fabricade;pablo vi;2;2;2017-05-16;7000000;microempresarial
femenino;servicio;comidasrapidas;boyaca;3;5;2018-03-06;6000000;microempresarial
masculino;servicio;variedades;robledo;2;7;2016-12-30;4000000;microempresarial
femenino;comercio;tienda;manrique central no. 2;2;3;2016-05-06;3500000;microempresarial
femenino;industria;fabricade;robledo;2;7;2018-07-10;3800000;microempresarial
masculino;comercio;cafeteria;santa cruz;2;2;2018-08-08;7800000;microempresarial
femenino;comercio;variedades;belen;3;16;2017-07-12;7370000;microempresarial
femenino;comercio;variedades;la francia;2;2;2018-08-01;6000000;microempresarial
masculino;comercio;legumbreria;pedregal;3;6;2018-03-15;7800000;microempresarial
masculino;comercio;variedades;campo valdes no. 1;3;4;2018-03-07;7000000;microempresarial
masculino;comercio;restaurante;boyaca;3;5;2017-05-05;6000000;microempresarial
femenino;comercio;almacenderopaen;robledo;1;7;2017-05-17;6000000;microempresarial
femenino;comercio;variedades;prado;3;10;2016-04-18;6890000;microempresarial
femenino;servicio;servicios;robledo;2;7;2017-07-19;7300000;microempresarial
femenino;comercio;distribuidorade;cabecera san cristobal;2;60;2017-08-17;4000000;microempresarial
femenino;industria;fabricade;picacho;1;6;2016-09-07;4000000;microempresarial
femenino;comercio;fabricade;santa cruz;2;2;2018-07-18;7812000;microempresarial
masculino;industria;fabricade;doce de octubre no.1;1;6;2017-05-31;5000000;microempresarial
femenino;comercio;variedades;picacho;2;6;2018-07-04;5000000;microempresarial
femenino;servicio;mantenimientoen;san joaquin;3;11;2018-08-09;7800000;microempresarial
femenino;comercio;variedades;castilla;3;5;2016-09-02;6000000;microempresarial
masculino;servicio;mantenimientoen;la america;3;12;2016-05-10;6890000;microempresarial
masculino;industria;fabricade;robledo;2;7;2017-11-15;5000000;microempresarial
femenino;comercio;comidasrapidas;manrique oriental;2;7;2018-05-30;7800000;microempresarial
femenino;industria;fabricade;manrique central no. 2;2;3;2018-01-29;7800000;microempresarial
femenino;servicio;cafeeinternet;san javier no.1;1;13;2018-10-31;3000000;microempresarial
masculino;comercio;comidasrapidas;enciso;2;8;2019-06-12;8000000;microempresarial
femenino;comercio;tienda;campo valdes no. 1;3;4;2016-02-25;300000;microempresarial
femenino;comercio;almacenderopaen;villa niza;2;2;2018-04-12;5000000;microempresarial
masculino;comercio;almacenderopaen;barrio caicedo;1;9;2018-08-14;5500000;microempresarial
femenino;industria;fabricade;la francia;2;2;2016-11-01;6890000;microempresarial
masculino;comercio;distribuidorade;el pinal;2;8;2019-04-03;8281000;microempresarial
femenino;industria;fabricade;buenos aires;3;9;2019-03-11;8000000;microempresarial
femenino;industria;fabricade;manrique central no. 1;2;4;2018-04-24;5000000;microempresarial
masculino;comercio;restaurante;la colina;3;15;2017-06-20;4000000;microempresarial
femenino;industria;fabricade;santander;3;6;2017-02-08;3500000;microempresarial
masculino;industria;fabricade;campo valdes no. 1;2;4;2017-12-06;7300000;microempresarial
femenino;industria;variedades;aranjuez;3;4;2018-10-11;3000000;microempresarial
femenino;servicio;mantenimientoen;buenos aires;1;9;2017-11-16;7000000;microempresarial
masculino;comercio;variedades;robledo;2;7;2018-01-26;5000000;microempresarial
masculino;comercio;comidasrapidas;aranjuez;2;4;2018-05-10;1500000;microempresarial
femenino;industria;fabricaderepuestos;san benito;3;10;2018-05-28;5000000;microempresarial
femenino;servicio;peluqueria;aranjuez;3;4;2017-02-14;6000000;microempresarial
femenino;industria;variedades;aranjuez;3;4;2018-05-04;7800000;microempresarial
femenino;comercio;comidasrapidas;robledo;3;7;2018-02-22;5000000;microempresarial
femenino;industria;fabricade;aranjuez;3;4;2018-04-10;3000000;microempresarial
masculino;comercio;fabricadecalzado;manila;3;14;2019-04-22;1500000;microempresarial
femenino;comercio;comidasrapidas;robledo;2;7;2017-12-06;7300000;microempresarial
masculino;industria;carpinteria;santa cruz;1;2;2016-08-11;4000000;microempresarial
masculino;comercio;fabricadealimentos;popular;2;1;2018-11-07;7800000;microempresarial
femenino;industria;fabricade;manrique central no. 1;3;4;2018-05-17;5000000;microempresarial
femenino;industria;fabricade;lopez de mesa;3;7;2017-09-20;5000000;microempresarial
femenino;comercio;variedades;pedregal;3;6;2017-10-25;7377000;microempresarial
femenino;industria;fabricade;popular;2;1;2016-08-31;6000000;microempresarial
femenino;industria;fabricade;robledo;1;7;2019-02-21;7000000;microempresarial
femenino;industria;fabricade;manrique central no. 2;2;3;2017-08-10;3000000;microempresarial
femenino;comercio;variedades;enciso;2;8;2017-10-26;1000000;microempresarial
masculino;comercio;variedades;campo valdes no. 1;3;4;2018-07-16;7800000;microempresarial
femenino;servicio;comidasrapidas;buenos aires;3;9;2016-07-12;6000000;microempresarial
femenino;comercio;comidasrapidas;la palma;2;16;2018-06-22;7000000;microempresarial
femenino;industria;fabricadehelados;olaya herrera;1;7;2018-06-14;4500000;microempresarial
femenino;agropecuaria;criaderodeanimales;cabecera san antonio ;2;80;2017-10-09;14000000;agropecuaria
femenino;servicio;peluqueria;belen;3;16;2016-11-03;6890000;microempresarial
femenino;industria;fabricade;buenos aires;3;9;2018-05-09;6000000;microempresarial
femenino;industria;fabricade;belen;1;16;2018-07-09;5000000;microempresarial
femenino;comercio;miscelanea;campo valdes no. 1;2;4;2019-05-29;6000000;microempresarial
femenino;comercio;cafeteria;pablo vi;2;2;2017-09-06;7000000;microempresarial
masculino;industria;carpinteria;san martin de porres;2;6;2016-06-15;6890000;microempresarial
femenino;servicio;comidasrapidas;la cruz;1;3;2018-02-16;7000000;microempresarial
femenino;servicio;peluqueria;robledo;3;7;2016-07-15;6890000;microempresarial
femenino;comercio;ventadecalzado;picachito;1;6;2018-05-09;4000000;microempresarial
femenino;comercio;tienda;la pradera;2;13;2017-09-13;4400000;credioportuno
masculino;comercio;variedades;playon de los ;1;2;2018-02-09;7000000;microempresarial
masculino;comercio;billares;cabecera san cristobal;2;60;2016-09-22;6890000;microempresarial
femenino;comercio;fabricadealimentos;villa del socorro;2;2;2018-09-14;4000000;microempresarial
masculino;comercio;licorera;robledo;2;7;2017-03-29;7377000;microempresarial
femenino;comercio;cafeteria;cabecera san antonio ;3;80;2019-01-31;7000000;microempresarial
femenino;servicio;comidasrapidas;doce de octubre no.1;2;6;2018-02-09;6000000;microempresarial
femenino;comercio;variedades;san javier no.1;1;13;2016-11-19;6800000;microempresarial
masculino;servicio;fabricade;robledo;2;7;2016-08-09;6890000;microempresarial
femenino;servicio;peluqueria;cabecera san cristobal;2;60;2017-08-18;4000000;microempresarial
femenino;servicio;peluqueria;aranjuez;2;4;2018-07-25;3500000;microempresarial
femenino;comercio;tienda;la libertad;2;8;2016-06-27;4000000;microempresarial
femenino;comercio;licorera;buenos aires;1;9;2018-04-23;3000000;microempresarial
femenino;comercio;tienda;manrique central no. 2;2;3;2018-01-30;4000000;microempresarial
femenino;servicio;miscelanea;campo valdes no. 1;3;4;2016-07-06;6000000;microempresarial
masculino;industria;fabricadeproductos;robledo;1;7;2016-10-26;4000000;microempresarial
femenino;comercio;panaderia;tejelo;3;5;2018-02-20;7800000;microempresarial
femenino;comercio;variedades;doce de octubre no.1;2;6;2019-01-25;2000000;microempresarial
